,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
324,sechura,64,PE,1547170754,88,-5.56,-80.82,73.51,6.96
325,porto novo,40,BR,1547168400,83,-23.68,-45.44,75.2,3.15
326,lamar,1,US,1547167980,35,38.09,-102.62,44.96,6.93
327,dukat,68,RS,1547170754,92,42.44,22.31,20.59,0.36
328,vila franca do campo,75,PT,1547168400,87,37.72,-25.43,57.2,19.46
329,lavra,0,PT,1547168400,45,41.26,-8.72,48.2,14.99
330,tocache,92,PE,1547170755,96,-8.19,-76.51,58.34,1.81
331,rosignol,12,GY,1547170755,83,6.28,-57.53,76.7,6.29
332,lac du bonnet,92,CA,1547170756,84,50.25,-96.06,12.49,10.65
333,xiamen,90,CN,1547168400,88,24.46,118.07,64.4,2.24
334,yar-sale,8,RU,1547170756,100,66.83,70.83,-23.34,3.94
335,katsuura,75,JP,1547168400,50,33.93,134.5,51.8,10.29
336,iberia,68,PE,1547170757,100,-11.41,-69.49,74.99,1.36
337,georgiyevka,92,RU,1547170757,92,52.25,40.45,18.74,11.54
338,inirida,20,CO,1547170758,92,3.87,-67.92,74.32,2.04
339,santiago del estero,88,AR,1547170758,71,-27.8,-64.26,67.21,17.36
340,el tocuyo,40,VE,1547164800,73,9.79,-69.8,75.2,6.93
341,birao,0,CF,1547170759,62,10.3,22.78,58.25,8.63
342,haines junction,8,CA,1547170759,0,60.75,-137.51,-43.27,2.15
343,yeppoon,75,AU,1547168400,78,-23.13,150.74,78.8,5.82
344,bandarbeyla,92,SO,1547170761,100,9.49,50.81,75.71,21.16
345,marshall,1,US,1547169300,79,39.39,-87.69,24.98,2.82
346,yako,0,BF,1547170762,40,12.96,-2.26,59.6,5.39
347,lavrentiya,0,RU,1547170762,82,65.58,-170.99,-8.35,14.79
348,broken hill,0,AU,1547168400,24,-31.97,141.45,93.2,8.05
349,san cristobal,75,EC,1547168400,100,-0.39,-78.55,55.4,4.7
350,glendive,1,US,1547169300,78,47.11,-104.71,35.6,6.93
351,berezovyy,0,RU,1547170764,52,51.67,135.7,-4.8,3.38
352,honiara,88,SB,1547170764,92,-9.43,159.96,79.81,2.71
353,sarab,0,IR,1547170764,66,38.61,44.99,4.7,2.59
354,darhan,12,MN,1547170765,56,49.49,105.92,-3.0,2.93
355,mmathubudukwane,20,BW,1547168400,83,-24.61,26.43,69.8,3.36
356,mezhdurechensk,68,RU,1547170766,76,53.69,88.07,4.21,3.38
357,abbeville,90,FR,1547168400,93,50.11,1.83,41.0,3.36
358,linhares,0,BR,1547170766,94,-19.38,-40.06,73.19,3.27
359,nanortalik,32,GL,1547170766,84,60.14,-45.24,27.97,5.73
360,mombasa,75,KE,1547164800,88,-4.05,39.67,78.8,4.7
361,provideniya,0,RU,1547168400,64,64.42,-173.23,-0.41,6.71
362,kamennogorsk,90,RU,1547169600,92,60.95,29.13,26.6,12.75
363,vardo,90,US,1547169600,50,39.62,-77.74,30.2,21.92
364,hambantota,40,LK,1547165400,100,6.12,81.12,75.2,3.36
365,peace river,40,CA,1547168400,77,56.23,-117.29,5.0,5.82
366,aleksandrovskiy zavod,0,RU,1547170769,65,50.92,117.94,1.1,2.82
367,miraflores,92,CO,1547170770,95,5.2,-73.14,53.48,0.92
368,sheopur,0,IN,1547170770,79,25.67,76.7,47.32,2.71
369,ilulissat,0,GL,1547167800,53,69.22,-51.1,-5.81,8.05
370,aripuana,48,BR,1547170771,93,-9.17,-60.63,74.68,2.71
371,antalaha,92,MG,1547170771,96,-14.9,50.28,76.39,0.92
372,havre-saint-pierre,75,CA,1547168820,92,50.23,-63.6,28.4,17.22
373,prince rupert,90,CA,1547168400,87,54.32,-130.32,44.6,11.41
374,kotido,0,UG,1547170772,61,3.01,34.12,61.81,7.07
375,kitui,44,KE,1547170773,73,-1.37,38.02,61.04,4.27
376,wanaka,0,NZ,1547170773,27,-44.7,169.14,66.53,4.94
377,bilma,0,NE,1547170774,69,18.69,12.92,41.6,2.48
378,vanimo,0,PG,1547170774,100,-2.67,141.3,81.97,9.42
379,maceio,20,BR,1547168400,83,-9.67,-35.74,75.2,2.24
380,bagdarin,24,RU,1547170774,57,54.44,113.59,-8.89,2.48
